Key,說明,zh-tw,zh-cn,en-us,th-th,ko-kr,my-mm,id-id,vi-vn,ja-jp,ms-my,es-es,lo-lao
AboutUs_10,TH-14,2012年，進駐當地最聞名DIAMOND CROWN CASINO ，位於泰國東南方，緊鄰盛產寶石聞名於世界，也是觀光勝地的柬補寨邊界特區內。玩家可在線上窺睹DIAMOND CROWN CASINO！ 貴賓亦可以親臨現場享受賓至如歸的VIP廳玩樂，亦可在公廳裡享受小額的遊戲，更能夠在公廳裡親眼目睹我們的風采！,2012年，进驻当地最闻名DIAMOND CROWN CASINO ，位于泰国东南方，紧邻盛产宝石闻名于世界，也是观光胜地的柬补寨边界特区内。玩家可在线上窥睹DIAMOND CROWN CASINO！贵宾亦可以亲临现场享受宾至如归的VIP厅玩乐，亦可在公厅里享受小额的游戏，更能够在公厅里亲眼目睹我们的风采！,"In 2012, We stationed diamond CROWN CASINO, it is located in the south-east of Thailand, near the world-famous gem-stone mine, and is also a tourist attraction within the Cambodian border zone. Members can visit the DIAMOND CROWN CASINO online! Or VIPs can personally come to visit our site .enjoy the VIP Hall to play, you can also play in our public hall to enjoy a small game!",ในปี 2012 ได้เข้าสู่คาสิโนDIAMOND CROWN ที่โด่งดังที่สุดในภาคตะวันออกเฉียงใต้ของประเทศไทย อยู่ติดกับเขตพิเศษชายแดนกัมพูชา ซึ่งมีชื่อเสียงสำหรับอัญมณีในโลก และยังเป็นแหล่งท่องเที่ยว ผู้เล่นสามารถรับชมคาสิโน DIAMOND CROWN ออนไลน์ วีไอพียังสามารถมาที่คาสิโนเพื่อเพลิดเพลินกับความรู้สึกเหมือนอยู่บ้านในห้องวีไอพีและพวกเขา ยังสามารถเพลิดเพลินกับเกมส์ดิมพันเล็ก ๆ ในล็อบบี้และพวกเขายังสามารถเห็นการกระทำของเราในล็อบบี้,"2012 년, 보석으로 세계적으로 유명한 캄보디아-부자이 국경 특수구역 옆, 태국 남동부에 가장 유명한 현지 다이아몬드 크라운 카지노에 입주했습니다. 온라인으로 DIAMOND CROWN CASINO를 시청할 수 있으며! 귀민은 VIP 청에서 최고 귀빈으로 대접 받아 수 있으며, 공청에서 작은 게임을 즐길 뿐만않이라 우리의 현황도 볼 수 있습니다!",2012ခုနစ်တွင်ေဒသခံDIAMOND CROWN CASINOသို့ဝင်ေရာက်ခဲ့သည်။ထိုင်းနိုင်ငံ၏အေရှ့ေတာင်ဘက်တွင်တည်ရှိသည်။ြကွယ်ဝေသာေကျာက်မျက်ရတနာများနှင့်နီးစပ်ြခင်းြဖင့်ကမ္ဘာေပါ်တွင်ေကျာ်ြကားသည်။ခရီးသွားလာေရးေဒသြဖစ်သည့်ကေမာ္ဘဒီးယားနယ်စပ်အထူးေဒသအတွင်း၌တည်ရှိသည်။ကစားသူများအွန်လိုင်းေပါ်တွင်DIAMOND CROWN CASINOကိုြကည့်ရှုနိုင်သည်။VIPများကိုယ်တိုင်ကစားရုံသို့ုေရာက်ရှိနိုင်ြပီးVIPကစားခန်းကိုခံစားနိုင်သည်။ဘုံေဟာခန်းတွင်လည်းပမာဏအနည်းငယ်ြဖင့်ကစားနိုင်သည်။ဘုံေဟာခန်းတွင်လည်းကွျန်ေတာ်တို့အလှများကိုထပ်မံရှုစားနိုင်သည်။,"Pada tahun 2012, masuk ke DIAMOND CROWN CASINO yang paling terkenal di daerah setempat. Terletak di tenggara Thailand, dekat dengan zona khusus perbatasan Kamboja, dan terkenal dengan kekayaan batu permata serta merupakan objek wisata. Pemain dapat melihat DIAMOND CROWN CASINO secara online! Tamu VIP juga bisa datang ke lokasi untuk menikmati permainan di ruang VIP, atau menikmati permainan kecil di aula publik, dan bahkan dapat menyaksikan gaya kami di aula publik!","Năm 2012, gia nhập vào địa phương DIAMOND CROWN CASINO nổi tiếng nhất, nằm ở phía đông nam của Thái Lan, bên cạnh đặc khu biên giới Campuchia-Buzhai, nơi nổi tiếng về đá quý và nổi tiếng trên thế giới. Người chơi có thể xem trực tuyến sảnh DIAMOND CROWN CASINO! Khách VIP cũng có thể đến hiện trường để tận hưởng cảm giác xa nhà trong phòng VIP, hoặc chơi các trò chơi nhỏ trong sảnh chung, và họ cũng có thể chứng kiến ​​phong thái của chúng tôi ở sảnh chơi!",2012年、当地で有名なダイアモンドクラウンカジノに進出。ここはタイ東南の宝石の産出で有名な場所で、また観光地でもあるカンボジア国境の特別区にあります。プレイヤーはオンライでダイヤモンドクラウンカジノを見ることができるほか、自ら現場に足を運びまるで家に帰ったような感じのVIPルームでホール内の少額ゲームを楽しむことができ、ホール内での自らの勇姿を見届けることができます。,"Pada tahun 2012, DIAMOND CROWN CASINO, yang terkenal di kawasan tersebut, telah beroperasi di kawasan perbatasan Kamboja yang terkenal dengan penghasilan permata dan merupakan sebuah destinasi pelancongan. Pemain dapat mengalami DIAMOND CROWN CASINO secara dalam talian! Para VIP juga boleh mengunjungi kasino kami secara langsung dan menikmati ruang VIP yang memberikan keselesaan dan layanan terbaik. Selain itu, anda juga boleh bermain permainan dengan jumlah kecil di ruang umum dan menyaksikan kecemerlangan kami dengan mata kepala sendiri!","En 2012, ingresó al CASINO DIAMOND CROWN local más famoso, que se encuentra en el sureste de Tailandia, cerca de la zona especial fronteriza de Camboya, que es una atracción turística famosa por sus ricas piedras preciosas en el mundo. ¡Los jugadores pueden conocer DIAMOND CROWN CASINO en línea! Los invitados VIP también pueden venir al sitio para disfrutar jugando en la sala VIP, disfrutar de juegos con pequeños montos en la sala pública e incluso presenciar nuestra belleza en la misma.",ໃນປີ 2012 ໄດ້ເຂົ້າສູ່ຄາສິໂນ DIAMOND CROWN ທີ່ໂດ່ງດັງທີ່ສຸດໃນພາກຕາເວັນອອກສ່ຽງໃຕ້ຂອງປະເທດໄທ ຢູ່ຕິດກັບເຂດພິເສດຊາຍແດນກຳປູເຈຍ ເຊິ່ງມີຊື່ສຽງສຳລັບອັນຍະມະນີໂລກ ແລະຍັງເປັນແຫຼ່ງທ່ອງທ່ຽວ ຜູ້ຫຼິ້ນສາມາດຮັບຊົມຄາສິໂນ DIAMOND CROWN ອອນໄລນ໌ ວີໄອພີຍັງສາມາດມາທີ່ຄາສິໂນເພື່ອເພີດເພີນກັບຄວາມຮູ້ສຶກຄືຢູ່ບ້ານໃນຫ້ອງວີໄອພີແລະພວກເຂົາຍັງສາມາດເພີດເພີນກັບເກມເດີມພັນເລັກນ້ອຍໃນລອບບີ້ ແລະ ພວກເຂົາຍັງສາມາດເຫັນການກະທຳຂອງເຮົາໃນລອບບີ້
AboutUs_11,TH-15,M Club設館,M Club设馆,Set up Mclub,ตั้งธุรกิจใน M CLUB,M Club청 설립,M Clubတိုက်ဖွင့်လစ်,Mendirikan M Club,Thành lập M club,M Club館の設立,Pembukaan M Club,Apertura de M Club,ຕັ້ງທຸລະກິດໃນ M CLUB
AboutUs_12,TH-16,2014年，皇家娛樂集團與於緬甸．苗瓦迪（Mayawady）（僅隔一條湄河即可到泰國境內）當地的賭場合作，提供技術支援與視訊串流，並將高清的視訊畫面輸出在皇家博弈娛樂平台上面，供玩家即時投注。,2014年，皇家娱乐集团与于缅甸．苗瓦迪（Mayawady）（仅隔一条湄河即可到泰国境内）当地的赌场合作，提供技术支援与视讯串流，并将高清的视讯画面输出在皇家博弈娱乐平台上面，供玩家即时投注。,"In 2014, Royal Entertainment Group and in Myanmar. Mayawady(just across the Mekong River) local casino steaming to provide technical support and video streaming, and high-definition video images are displayed on the Royal Game Entertainment platform for players to bet in real time",ในปี 2014 Royal รอยัลกลุ่มบันเทิงร่วมมือกับคาสิโนในพม่า (Myawaddy) ให้การสนับสนุนด้านเทคนิคและวิดีโอ และส่งออกหน้าจอวิดีโอความละเอียดสูงบนแพลตฟอร์มความบันเทิงรอยัลเพื่อให้ผู้เล่นเดิมพันได้ทันที,"2014 년, 로얄 엔터테인먼트 그룹과 미얀마-마와디 (Mayawady)(메콩강 건너편이 태국)는 현지 카지노와 협력하여 기술 지원 및 비디오 스트리밍을 제공하여, 게임 엔터테인먼트 플랫폼에 고화질 비디오 이미지 출력하여 플레이어가 실시간에 베팅 할 수 있도록 했습니다.",2014ခုနစ်တွင်ေတာ်ဝင်ကစားရုံသည်ြမန်မာနိုင်ငံ ြမဝတီ（Mayawady）(ထိုင်းနိုင်ငံနှင့်မွဲြမစ်တစ်ခုသာကွာေဝးသည့်ထိုင်းြမန်မာနယ်စပ်ြဖစ်သည်)တွင်တည်ရှိသည်။ေဒသခံကစားရုံနှင့်ပူးတွဲကာနည်းပညာနှင့်ဗီတီယိုကိုေထာက်ပံေပးသည်။ြကည်လင်ေသာဗီတီယိုကိုေတာ်ဝင်ကစားရုံအွန်လိုင်းေပါ်တွင်ထုတ်လွှတ်ေပးသည်။ကစားသူကိုအချိန်မေရွးေလာင်းေြကးချရန်ေထာက်ပံ့ေပးသည်။,"Pada tahun 2014, Grup Hiburan Royal dan Mayawady, kasino lokal di Myanmar (Thailand hanya di seberang Sungai Mekong), bekerja sama untuk menyediakan bantuan teknis dan streaming video untuk menampilkan gambar berdefinisi tinggi di platform hiburan dan permainan Royal agar pemain dapat langsung bertaruh.","Năm 2014, Royal Entertainment Group và tại Myanmar. Mayawady (ngay bên kia sông Mee đến Thái Lan) hợp tác với một sòng bạc địa phương để cung cấp hỗ trợ kỹ thuật và phát trực tuyến video, đồng thời xuất hình ảnh video độ nét cao trên nền tảng giải trí Royal Gaming để người chơi đặt cược trong thời gian game diễn ra.",2014年、ロイヤルエンターテイメントグループはミャンマーのマヤワディ（Mayawady）（メコン川を超えればそこはタイ）当地のカジノと提携し、技術サポートとビデオストリーミングを提供することで、高画質のビデオ画面をロイヤルカジノエンターテインメントプラットフォームに提供し、プレイヤーがリアルタイムにプレイできるようにしました。,"Pada tahun 2014, Kumpulan Hiburan Royal menjalin kerjasama dengan kasino setempat di Mayawady, Myanmar (hanya berjarak sungai dari sempadan Thailand), untuk menyediakan sokongan teknikal dan penstriman video. Gambar video berkualiti tinggi disalurkan melalui platform perjudian Royal untuk membolehkan pemain membuat pertaruhan secara langsung.","En 2014, Royal Entertainment Group y los casinos locales en Birmania-Mayawady (separado de Tailandia por tan solo el río Mekong) cooperan para brindar soporte técnico y transmisión de video, y generar imágenes de video de alta definición en la plataforma de entretenimiento Royal Gaming para que los jugadores apuesten en tiempo real.",ໃນປີ 2014 ຣໍຍັລກຸ່ມບັນເທີງຮ່ວມກັບຄາສິໂນໃນມຽນມ້າ (Myawaddy) ໃຫ້ການສະໜັບສະໜຸນດ້ານເຕັກນິກແລະວິດີໂອ ແລະ ສົ່ງອອກໜ້າຈໍວິດີໂອຄວາມລະອຽດສູງເທິງແຟລຕຟອມຄວາມບັນເທິງຣໍຍັລເພື່ອໃຫ້ຜູ້ຫຼິ້ນເດີມພັນໄດ້ທັນທີ
AboutUs_13,TH-17,拓展Slot市場,拓展Slot市场,expanded to slot market,ขยายตลาดสล็อต,Slot 시장 확장,စေလာ့ေစျကွက်ကိုြဖန့်ချီ,Perluas Pasar Slot,Mở rộng vị trí trên thị trường,Slot市場の開拓,Perkembangan pasaran Slot,Ampliar el mercado de tragamonedas,ຂະຫຍາຍຕະຫຼາດສະລ໋ອດ
AboutUs_14,TH-18,2016年，皇家娛樂平台有鑑於市場需求，重金聘請擁有十年以上老虎機(Slot Game)開發經驗的皇家電子(RSG)，進行遊戲開發。Slot Game除了保留實際老虎機的投注模式外，多元多變的風格與畫面，累積彩金的中獎瞬間，皆廣受各國玩家好評。皇家電子也持續為玩家推出新遊戲，在Slot Game市場中，穩穩佔有一席之地。,2016年，皇家娱乐平台有鉴于市场需求，重金聘请拥有十年以上老虎机(Slot Game)开发经验的皇家电子(RSG)，进行游戏开发。 Slot Game除了保留实际老虎机的投注模式外，多元多变的风格与画面，累积彩金的中奖瞬间，皆广受各国玩家好评。皇家电子也持续为玩家推出新游戏，在Slot Game市场中，稳稳占有一席之地。,"In 2016, Royal Entertainment hired Royal Electronics (RSG) which has more than 10 years of slot game development experience. Slot Game in addition to retaining the actual slot machine betting mode, a variety of styles and pictures, the accumulation of winning moments, are widely praised by players from all over the world. Royal Electronics also continues to offer new games to players, securing an important place in Slot market.",ในปี 2016 Royal เนื่องจากความต้องการของตลาด รอยัลกลุ่มบันเทิงใช้เงินเพื่อจ้าง Royal Electronics (RSG) ซึ่งมีประสบการณ์การพัฒนาเกมสล็อตมากกว่าสิบปีเพื่อการพัฒนาเกม นอกเหนือจากการรักษาโหมดการเดิมพันของสล็อตแล้ว รูปแบบและกราฟิกที่หลากหลายและเปลี่ยนแปลงได้ของเกมสล็อต และช่วงเวลาของการชนะแจ็คพอตนั้นได้รับการยกย่อง ...,"2016 년, 로얄 엔터테인먼트 그룹은 시장 수요를 감안하여, 슬롯 게임 개발 경험이 10 년 넘은 로얄전자 (RSG)를 게임 개발에 적극 채용했습니다. 실제 슬롯 머신의 베팅 모드를 유지하는 것 외에도 Slot Game의 다양하고 변경 가능한 스타일과 그래픽, 축적된 상금이 당첨된 순간은 전 세계 플레이어들로 부터 큰 호평을 받고 있습니다. 로얄전자는 또한 플레이어를 위한 새로운 게임을 계속 출시하고 있으며 슬롯 게임 시장에서 확고한 위치를 차지하고 있습니다.",2016ခုနစ်တွင်ေတာ်ဝင်အွန်လိုင်းကစားရုံသည်ေစျးကွက်လိုအပ်ချက်အရေငွအေြမာက်အများြဖင့်၁၀နှစ်အထက်ရှိိေသာစေလာ့ကျားစက်(Slot Game)ဖွံ့ြဖိုးအေတွ့အြကုံရှိေသာေတာ်ဝင်စက်ကိရိယာ(RSG)ြဖင့်ဂိမ်းကိုစတင်တည်ေဆာက်သည်။Slot Gameသည်ကျားစက်ေလာင်းေြကးကစားနည်းကိုထားရှိသည့်အြပင်မျိုးစံုေသာပုံစံနှင့်အြမင်၊ကံစမ်းမဲေပါက်သည့်အချိန်ကိုစုေဆာင်းြခင်းမှာနိုင်ငံတကာ၏အားေပးမှုကိုရရှိသည်။ေတာ်ဝင်စက်ကိရိယာမှလည်းကစားနည်းအသစ်ကိုကစားသူအတွက်ဆက်လက်ထုတ်လွတ်ေပးသည်။Slot Game၏ေစျးကွက်တွင်တည်ြငိမ်တဲ့ေနရာကိုရရှိထားသည်။,"Pada tahun 2016, melihat permintaan pasar, platform hiburan Royal mengeluarkan dana besar untuk menyewa Royal Electronics (RSG) yang berpengalaman dalam pengembangan mesin slot (Slot Game) lebih dari sepuluh tahun untuk mengembangkan permainan. Selain mempertahankan mode taruhan dari mesin slot semula, Slot Game memiliki beragam gaya dan gambar, juga akumulasi hadiah. Hal ini dipuji oleh pemain dari seluruh dunia. Royal Electronics juga terus meluncurkan permainan baru dan terus berdiri dengan mantap di tengah pasar Slot Game.","Vào năm 2016, theo nhu cầu thị trường, Royal Entertainment đã thuê rất nhiều Royal Electronics (RSG) chuyên gia điên tử học, công ty có hơn mười năm kinh nghiệm phát triển game điện tử, để phát triển trò chơi. Ngoài việc giữ lại chế độ cá cược của máy đánh bạc thực tế, phong cách và đồ họa đa dạng, có thể thay đổi và ghi lại những khoảnh khắc chiến thắng giải độc đắc của Slot Game, được nhiều người chơi trên khắp thế giới khen ngợi. Royal Electronics cũng tiếp tục tung ra các trò chơi mới cho người chơi, và có một chỗ đứng vững chắc trên thị trường Slot Game.",2016年ロイヤルエンターテインメントプラットフォームは市場のニーズに応えるため、スロットゲーム開発において10年以上の経験を有するロイヤル電子（RSG）を招聘し、ゲーム開発を行いました。スロットゲームは実際のスロットマシンのプレイモードを残したほか、多種多様なスタイルと画面を使用し、賞金を獲得した瞬間を残しておくことができることから、各国のプレイヤーに高い評価をいただいています。ロイヤル電子も引き続きプレイヤーのために新しいゲームをリリースしており、スロットゲーム市場において安定した地位を築いています。,"Pada tahun 2016, platform Hiburan Royal menyedari permintaan pasaran dan telah menggaji syarikat Royal Electronic (RSG), yang mempunyai pengalaman lebih dari sepuluh tahun dalam pembangunan permainan Slot Game. Selain mempertahankan corak pertaruhan mesin slot sebenar, permainan Slot Game kami menawarkan pelbagai gaya dan imej yang berbeza, serta momen menang jackpot yang menggembirakan, yang telah mendapat sambutan baik dari pemain di pelbagai negara. Royal Electronic terus melancarkan permainan baru untuk pemain, dan dengan itu telah berjaya mendapatkan kedudukan yang kukuh dalam pasaran Slot Game.","En 2016, en vista de la demanda del mercado, Royal Entertainment Platform pagó mucho dinero para contratar a Royal Electronics (RSG), que tiene más de diez años de experiencia en el desarrollo de máquinas tragamonedas (Slot Game), para el desarrollo de juegos. Slot Game, además de conservar el modo de apuestas de la máquina tragamonedas real, con la gran variedad de estilos y gráficos, y los premios acumulados ha ganado el elogio de los jugadores de distintos países. Royal Electronics también continúa lanzando nuevos juegos y ocupa firmemente un lugar en el mercado de juegos de tragamonedas.",ໃນປີ 2016 ເນື່ອງຈາກຄວາມຕ້ອງການຂອງຕະຫຼາດ ຣໍຍັລກຸ່ມບັນເທິງໃຊ້ເງິນເພື່ອຈ້າງ Royal Electronic (RSG) ເຊິ່ງມີປະສົບການການພັດທະນາເກມສະລ໋ອດຫຼາຍກວ່າສິບປີເພື່ອການພັດທະນາເກທ ນອກເໜືອຈາກການຮັກສາໂໝດການເດີມພັນຂອງສະລ໋ອດແລ້ວ ຮູບແບບແລະກຣາຟິກທີ່ຫຼາກຫຼາຍແລະປ່ຽນແປງໄດ້ຂອງເກມສະລ໋ອດ ແລະ ຊ່ວງເວລາຂອງການຊະນະແຈັກພອດນັ້ນໄດ້ຮັບການຍ້ອງຍໍ ...
AboutUs_15,TH-19,全新合作,全新合作,New cooperation,ความร่วมมือใหม่,새로운 협력,အသစ်ပူးတွဲ,Kerjasama Baru,Hợp tác mới,新たな提携,Kerjasama Terbaru,Nueva cooperación,ຄວາມຮ່ວມມືໃໝ່
AboutUs_16,TH-20,2018年，皇家娛樂集團與當地非常受歡迎的賭場 - POIPET渡假村Star Vegas Casino合作，設立全新場景的視訊桌，提供百家樂、龍虎、骰寶、輪盤、牛牛等遊戲。,2018年，皇家娱乐集团与当地非常受欢迎的赌场 - POIPET渡假村Star Vegas Casino合作，设立全新场景的视讯桌，提供百家乐、龙虎、骰宝、轮盘、牛牛等游戏。,"In 2018, Royal Entertainment Group partnered with Star Vegas Casino, a popular local casino, to create a new video table for new scenes, offering games such as baccarat, Dragon tiger, Sic Bo, roulette, and bull bull.",ในปี 2018 รอยัลกลุ่มบันเทิงร่วมมือกับคาสิโนที่ได้รับความนิยมอย่างมากในเมือง - รีสอร์ท POIPET Star Vegas Casino เพื่อสร้างโต๊ะวิดีโอโดยให้บาคาร่า เสือมังกร ไฮโล รูเล็ต นิวนิว,"2018 년, 로얄 엔터테이먼트 그룹은 매우 인기있는 현지 카지노 인 POIPET 리조트 Star Vegas Casino와 협력하여 새로운 비디오 테이블 장면을 설정하여 바카라, 용호, 주사위, 룰렛, 뉴뉴 등의 게임을 제공했습니다.",2018ခုနစ်တွင်ေတာ်ဝင်ကစားပွဲေကာ်မတီသည်ေဒသခံနာမည်ြကီးသည့်ကစားရုံ-POIPETအပန်းေြဖစခန်းStar Vegas Casinoနှင့်ပူးတွဲကာရှုခင်းအသစ်ရှိသည့်ဗီတီယိုစားပွဲကိုထားရှိကာဘာ့ခရာ့၊ကျားနဂါး၊ဆစ်ပို၊သံုးဆယ့်ေြခာက်ေကာင်၊နွားနွားစသြဖင့်ဂိမ်းများကိုေထာက်ပံ့ေပးသည်။,"Pada tahun 2018, Grup Hiburan Royal bekerja sama dengan Star Vegas Casino, kasino lokal yang sangat populer di Resort POIPET, untuk menghadirkan meja video dengan gambar terbaru yang menyediakan permainan bakarat, harimau naga, sic bo, rolet, bull bull, dll.","Vào năm 2018, Royal Entertainment Group đã hợp tác với sòng bạc địa phương rất nổi tiếng-POIPET Resort Star Vegas Casino để thiết lập một bối cảnh bàn trò chơi điện tử mới, cung cấp các trò chơi như Baccarat, rồng hổ, Sic Bo, Roulette, trâu trâu và các trò chơi khác.",2018年、ロイヤルエンターテイメントグループは当地で高い人気を誇るカジノ-POIPETリゾートのスターベガスカジノと提携、新たなシーンによるビデオデスクを設営し、バカラ、ドラゴンタイガー、シックボー、ルーレット、ブルブルなどのゲームを提供しています。,"Pada tahun 2018, Kumpulan Hiburan Royal menjalin kerjasama dengan kasino terkenal setempat - Star Vegas Casino di Resort POIPET untuk mewujudkan meja permainan video dengan suasana baru, yang menawarkan permainan seperti Baccarat, Dragon Tiger, Sic Bo, Roulette, NIU NIU, dan lain-lain.","En 2018, Royal Entertainment Group cooperó con Star Vegas Casino del POIPET Resort, un casino local muy popular, para instalar mesas de video con una nueva escena, ofreciendo juegos como bacarrá, dragón tigre, sic bo, ruleta y Niu niu.",ໃນປີ 2018 ຣໍຍັລກຸ່ມບັນເທິງຮ່ວມມືກັບຄາສິໂນທີ່ໄດ້ຮັບຄວາມນິຍົມຢ່າງຫຼາຍໃນເມືອງ - ຣີສອດ POIPET Star Vegas Casino ເພື່ອສ້າງໂຕະວິດີໂອໂດຍໃຫ້ບາຄາຣ່າ ເສືອມັງກອນ ໄຮໂລ ຣູເລັດ ນິວນິວ
AboutUs_17,TH-21,MStar設館,MStar设馆,set up Mstar,ตั้งธุรกิจใน MStar,Mstar청 설립,Mstar တိုက်ဖွင့်လစ်,Mendirikan Mstar,Thành lập Mstar,MStar館の設立,Pembukaan Mstar,Apertura de MStar,ຕັ້ງທຸລະກິດໃນ Mstar
AboutUs_18,TH-22,2019年，於緬甸．苗瓦迪（Mayawady）當地合法的大型賭場合作設場，該賭場位置與泰國僅相隔一湄河，可以同時滿足線上玩家與現場賭客的投注需求。,2019年，于缅甸．苗瓦迪（Mayawady）当地合法的大型赌场合作设场，该赌场位置与泰国仅相隔一湄河，可以同时满足线上玩家与现场赌客的投注需求。,"2019, in Myanmar Mayawady's Royal entertainment partner with the local large-scale casino , located just across the River from Thailand, satisfy both online and live gamblers.",ในปี 2019 คาสิโนถูกกฎหมายท้องถิ่นขนาดใหญ่ในพม่า (เมียวดี) จะร่วมมือกับสถานประกอบการคาสิโนแห่งนี้ และสถานที่ตั้งคาสิโนเป็นเพียงแม่น้ำที่อยู่ห่างจากประเทศไทย มันสามารถตอบสนองความต้องการเดิมพันของผู้เล่นออนไลน์และนักพนันสดได้ในเวลาเดียวกัน,"2019 년, 마야 와디 (Mayawady)는 미얀마에서 합법적으로 설립 된 현지 대규모 카지노로, 메콩강 건너편이 태국이고, 온라인 플레이어와 라이브 갬블러의 베팅 요구를 동시에 만족 할 수 있습니다.",2019ခုနစ်တွင်ြမန်မာနိုင်ငံြမဝတီ（Mayawady）ေဒသခံ၏တရားဝင်အြကီးဆုံးကစားရုံနှင့်ပူးတွဲကာကစားရုံကိုဖွင့်လစ်သည်။ယင့်ကစားရုံမှာထိုင်းနိုင်ငံနှင့်မွဲြမစ်တစ်ခုသာကွာေဝးသည်။အွန်လိုင်းကစားသူနှင့်ကိုယ်ေတွ့ကစားသူ၏ေလာင်းေြကးလိုအပ်ချက်များကိုတစ်ချိန်တည်းြဖည့်စီးေပးသည်။,"Pada tahun 2019, bekerja sama dengan Mayawady Myanmar, kasino lokal resmi berskala besar, untuk membuka kasino. Kasino tersebut hanya terpisah dengan Thailand oleh Sungai Mekong, sehingga dapat memuaskan keinginan bertaruh pemain online dan penjudi langsung di lokasi.","Vào năm 2019, tại Myanmar. Mayawady (Mayawady) là một sòng bạc quy mô lớn hợp pháp tại địa phương được thành lập. Sòng bạc chỉ cách một con sông Mee từ Thái Lan, có thể đáp ứng đồng thời nhu cầu cá cược của người chơi trực tuyến và người đánh bạc trực tiếp.",2019年、ミャンマーのマヤワディ（Mayawady）に合法的な大型カジノを設営、このカジノはタイとはメコン川一つ隔てているだけで、オンラインプレイヤーと現場のプレイヤーのプレイ要求を同時に満たしています。,"Pada tahun 2019, kami menjalin kerjasama dengan sebuah kasino besar yang sah di Mayawady, Myanmar. Lokasi kasino ini berdekatan dengan Thailand hanya dipisahkan oleh Sungai Moei, yang memenuhi keperluan pemain dalam talian dan penjudi tempatan secara serentak.","En 2019, en Birmania-Mayawady se estableció un casino en cooperación con un gran casino local legal, ubicado a solo un río Mekong de Tailandia, lo que puede satisfacer las necesidades de apuestas tanto de los jugadores en línea como de los jugadores en vivo.",ໃນປີ 2019 ຄາສິໂນຖືກກົດໝາຍທ້ອງຖິ່ນຂະໜາດໃຫຍ່ໃນມຽນມ້າ (ມຽວດີ) ຈະຮ່ວມມືກັບສະຖານປະກອບການຄາສິໂນແຫ່ງນີ້ ແລະສະຖານທີ່ຕັ້ງຄາສິໂນເປັນພຽງແມ່ນ້ຳທີ່ຢູ່ຫ່າງຈາກປະເທດໄທ ມັນສາມາດຕອບສະໜອງຄວາມຕ້ອງການເດີມພັນຂອງຜູ້ຫຼິ້ນອອນໄລນ໌ແລະນັກພະນັນສົດໄດ້ໃນເວລາດຽວກັນ
AboutUs_19,TH-23,全新改版,全新改版,brand new design,การแก้ไขใหม่,새로 개판,အားလုံးြပုြပင်,Versi Terbaru,Bản sửa đổi hoàn toàn mới,新たなバージョンアップ,Versi Terbaru,Versión totalmente nueva,ການແກ້ໄຂໃໝ່
